epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,18704.5,1.26565,0.72692,0.96107,0.71339,0.54407,0.61317,0.33918,1.23285,0.68001,0.92992,0.00362,0.00362,0.00362
60,19017.8,1.25993,0.72254,0.95906,0.71169,0.54584,0.61392,0.33939,1.2322,0.67936,0.9296,0.00351,0.00351,0.00351
61,19330.1,1.26,0.72204,0.95941,0.71272,0.54558,0.61409,0.33949,1.23218,0.67918,0.92955,0.0034,0.0034,0.0034
62,19643.7,1.25729,0.71959,0.95736,0.71284,0.54588,0.61438,0.33961,1.23178,0.67888,0.92933,0.00329,0.00329,0.00329
63,19955.8,1.25993,0.72284,0.95905,0.71359,0.54599,0.61461,0.33975,1.23147,0.67836,0.92917,0.00318,0.00318,0.00318
64,20269.8,1.25467,0.7186,0.95789,0.7131,0.54654,0.61486,0.33979,1.23128,0.6779,0.92904,0.00307,0.00307,0.00307
65,20606.5,1.26041,0.72099,0.96017,0.71392,0.54622,0.61509,0.33995,1.23099,0.67762,0.92894,0.00296,0.00296,0.00296
66,20929.9,1.25912,0.7178,0.9577,0.71502,0.54583,0.61556,0.34025,1.23065,0.67733,0.92882,0.00285,0.00285,0.00285
67,21257.1,1.25807,0.7182,0.95838,0.71389,0.54598,0.61537,0.34038,1.23044,0.67718,0.92862,0.00274,0.00274,0.00274
68,21589.7,1.25316,0.71489,0.95792,0.71548,0.5459,0.61584,0.3405,1.23031,0.67687,0.92849,0.00263,0.00263,0.00263
69,21924.5,1.25459,0.7144,0.95613,0.71446,0.54637,0.61589,0.34074,1.22996,0.67653,0.92836,0.00252,0.00252,0.00252
70,22257.7,1.24982,0.71259,0.95523,0.71482,0.54671,0.6163,0.34095,1.22947,0.67637,0.9282,0.00241,0.00241,0.00241
71,22590.8,1.25067,0.71207,0.95528,0.7151,0.54634,0.61637,0.34104,1.22916,0.67607,0.92808,0.0023,0.0023,0.0023
72,22920.9,1.24393,0.70563,0.95247,0.71533,0.54631,0.61619,0.34122,1.22884,0.67588,0.92788,0.00219,0.00219,0.00219
73,23252.6,1.24788,0.70695,0.95321,0.71445,0.54704,0.6167,0.34125,1.2286,0.67553,0.9278,0.00208,0.00208,0.00208
74,23581.9,1.24614,0.7071,0.95268,0.71538,0.5466,0.61681,0.34138,1.22822,0.67539,0.92763,0.00197,0.00197,0.00197
75,23913.2,1.24164,0.70191,0.9513,0.71596,0.54656,0.61708,0.34152,1.22802,0.67514,0.9275,0.00186,0.00186,0.00186
76,24242.9,1.24186,0.70118,0.95099,0.71679,0.54646,0.61716,0.3416,1.22778,0.6749,0.92735,0.00175,0.00175,0.00175
77,24571.6,1.23502,0.69853,0.95028,0.7161,0.54666,0.61723,0.34178,1.22753,0.67466,0.92724,0.00164,0.00164,0.00164
78,24905.8,1.23534,0.69646,0.94981,0.71703,0.54634,0.61755,0.34195,1.22718,0.67453,0.92706,0.00153,0.00153,0.00153
79,25238.9,1.23459,0.69485,0.94989,0.71666,0.54683,0.61769,0.34201,1.22695,0.67433,0.9269,0.00142,0.00142,0.00142
80,25571.1,1.23485,0.69549,0.95039,0.71703,0.54656,0.61772,0.34215,1.22672,0.6742,0.92681,0.00131,0.00131,0.00131
81,25890.4,1.26236,0.69883,0.9499,0.71758,0.54646,0.61801,0.34222,1.22656,0.67397,0.92672,0.0012,0.0012,0.0012
82,26206.3,1.25735,0.69268,0.94926,0.71685,0.54709,0.61797,0.34236,1.22634,0.67385,0.92658,0.00109,0.00109,0.00109
83,26517.8,1.25317,0.68857,0.94715,0.71697,0.54695,0.61797,0.34237,1.22634,0.67393,0.92647,0.00098,0.00098,0.00098
84,26830.9,1.25027,0.68728,0.9453,0.71764,0.54652,0.61816,0.34242,1.22616,0.6739,0.92633,0.00087,0.00087,0.00087
85,27145.9,1.24868,0.68475,0.94588,0.71649,0.54742,0.61855,0.34255,1.22608,0.67377,0.92626,0.00076,0.00076,0.00076
86,27459.1,1.24753,0.68278,0.94441,0.71679,0.5478,0.61865,0.34264,1.22575,0.67355,0.92614,0.00065,0.00065,0.00065
87,27771.5,1.24371,0.6783,0.94431,0.71766,0.5473,0.61884,0.34264,1.22572,0.67358,0.92606,0.00054,0.00054,0.00054
88,28083.6,1.24001,0.67573,0.9418,0.71673,0.54789,0.61907,0.3428,1.22543,0.67347,0.92594,0.00043,0.00043,0.00043
89,28395,1.23946,0.6762,0.94139,0.71593,0.5481,0.61906,0.34286,1.22535,0.67343,0.92584,0.00032,0.00032,0.00032
90,28705.1,1.23441,0.67132,0.94056,0.71652,0.5481,0.6193,0.34293,1.22519,0.6733,0.92575,0.00021,0.00021,0.00021
