epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1643.01,1.19141,0.69652,0.93937,0.59619,0.41832,0.45003,0.23549,1.50116,0.89873,1.04099,0.0088318,0.0088318,0.0088318
61,1669.74,1.18215,0.68738,0.93287,0.58914,0.42329,0.45535,0.23868,1.47409,0.88457,1.03119,0.008812,0.008812,0.008812
62,1696.16,1.17478,0.68699,0.93636,0.57961,0.43365,0.46234,0.24627,1.45473,0.87091,1.02264,0.0087922,0.0087922,0.0087922
63,1723.55,1.18203,0.68201,0.93325,0.59883,0.40688,0.44822,0.23443,1.50097,0.89196,1.02997,0.0087724,0.0087724,0.0087724
64,1750.69,1.17017,0.67941,0.93338,0.59322,0.41383,0.44812,0.23379,1.48774,0.89255,1.03721,0.0087526,0.0087526,0.0087526
65,1778.14,1.17947,0.68268,0.93415,0.57741,0.42374,0.44745,0.23876,1.46211,0.88685,1.02296,0.0087328,0.0087328,0.0087328
66,1805.1,1.17071,0.67936,0.93129,0.585,0.4295,0.45369,0.23773,1.49457,0.88945,1.02294,0.008713,0.008713,0.008713
67,1832.9,1.16827,0.67793,0.93106,0.59244,0.43254,0.45814,0.24059,1.48117,0.88426,1.03079,0.0086932,0.0086932,0.0086932
68,1859.94,1.16291,0.67604,0.92852,0.57842,0.43192,0.45435,0.24291,1.46136,0.88688,1.02824,0.0086734,0.0086734,0.0086734
69,1886.93,1.15236,0.66247,0.92906,0.58299,0.41484,0.44605,0.23098,1.50405,0.89181,1.03319,0.0086536,0.0086536,0.0086536
70,1914.03,1.16092,0.67391,0.92904,0.58729,0.41853,0.44727,0.24025,1.47604,0.88942,1.03268,0.0086338,0.0086338,0.0086338
71,1941.52,1.15573,0.66816,0.92592,0.59651,0.41658,0.45385,0.23624,1.49625,0.89013,1.03822,0.008614,0.008614,0.008614
72,1968.95,1.16415,0.67425,0.93245,0.60477,0.41967,0.4536,0.24111,1.47832,0.89119,1.03277,0.0085942,0.0085942,0.0085942
73,1996.41,1.16329,0.67017,0.92994,0.59456,0.43088,0.45895,0.24477,1.46656,0.87749,1.02339,0.0085744,0.0085744,0.0085744
74,2024.01,1.14305,0.65967,0.92515,0.59006,0.43144,0.46173,0.2424,1.4801,0.87365,1.02819,0.0085546,0.0085546,0.0085546
75,2050.59,1.14666,0.66162,0.92531,0.61453,0.41965,0.45731,0.24287,1.48893,0.87663,1.03338,0.0085348,0.0085348,0.0085348
76,2077.55,1.13855,0.66373,0.92573,0.60577,0.42899,0.45691,0.23968,1.4982,0.89133,1.03674,0.008515,0.008515,0.008515
77,2104.95,1.14725,0.66221,0.9259,0.588,0.43167,0.45708,0.23833,1.48982,0.87895,1.03618,0.0084952,0.0084952,0.0084952
78,2132.12,1.1482,0.65965,0.92431,0.59225,0.42476,0.45965,0.24052,1.49252,0.89023,1.02358,0.0084754,0.0084754,0.0084754
79,2160.33,1.13689,0.65461,0.92178,0.60412,0.43159,0.46516,0.24478,1.47499,0.86191,1.02573,0.0084556,0.0084556,0.0084556
80,2187.68,1.13828,0.65863,0.92206,0.60154,0.42522,0.45984,0.24225,1.49184,0.8794,1.03359,0.0084358,0.0084358,0.0084358
81,2215.61,1.14175,0.65974,0.92449,0.62737,0.41636,0.46567,0.24562,1.47124,0.86528,1.02402,0.008416,0.008416,0.008416
82,2242.16,1.13394,0.653,0.91764,0.61425,0.42182,0.46197,0.24458,1.46457,0.86503,1.02942,0.0083962,0.0083962,0.0083962
83,2269.99,1.13114,0.6544,0.92074,0.61466,0.41936,0.46162,0.24078,1.48523,0.87015,1.02587,0.0083764,0.0083764,0.0083764
84,2297.47,1.12733,0.64735,0.91815,0.59183,0.42217,0.45372,0.23993,1.46978,0.86198,1.02998,0.0083566,0.0083566,0.0083566
85,2324.66,1.12122,0.64415,0.91631,0.60906,0.41949,0.45705,0.24098,1.47945,0.87363,1.03058,0.0083368,0.0083368,0.0083368
86,2352.38,1.11664,0.64534,0.91593,0.62008,0.41466,0.46375,0.24375,1.49251,0.88298,1.03525,0.008317,0.008317,0.008317
87,2379.49,1.12141,0.64504,0.91889,0.61912,0.42985,0.46963,0.24612,1.46783,0.85991,1.01678,0.0082972,0.0082972,0.0082972
88,2406.86,1.11992,0.64313,0.91384,0.60213,0.42133,0.46522,0.24253,1.49117,0.87828,1.02892,0.0082774,0.0082774,0.0082774
89,2433.46,1.12464,0.64683,0.91793,0.60239,0.42663,0.46501,0.24258,1.46796,0.86708,1.02164,0.0082576,0.0082576,0.0082576
90,2460.97,1.12361,0.64504,0.91795,0.60156,0.42677,0.45574,0.2428,1.46235,0.8738,1.02983,0.0082378,0.0082378,0.0082378
91,2488.43,1.10643,0.63839,0.91378,0.61741,0.42924,0.46572,0.24529,1.46465,0.85751,1.02313,0.008218,0.008218,0.008218
92,2515.68,1.11414,0.63817,0.91547,0.58231,0.4389,0.45956,0.24039,1.48463,0.86241,1.03726,0.0081982,0.0081982,0.0081982
93,2542.58,1.1168,0.64384,0.92065,0.6107,0.4402,0.47394,0.24854,1.46341,0.85352,1.02262,0.0081784,0.0081784,0.0081784
94,2569.77,1.11918,0.64162,0.91755,0.60739,0.41675,0.46183,0.24581,1.45591,0.87835,1.02555,0.0081586,0.0081586,0.0081586
95,2596.8,1.11472,0.64045,0.91747,0.60896,0.4297,0.4669,0.24133,1.47998,0.86057,1.02673,0.0081388,0.0081388,0.0081388
96,2623.73,1.10485,0.63226,0.91485,0.60197,0.43837,0.47004,0.24818,1.46387,0.86319,1.02747,0.008119,0.008119,0.008119
97,2650.78,1.10318,0.63095,0.91405,0.61338,0.42634,0.46236,0.24437,1.47207,0.85255,1.02577,0.0080992,0.0080992,0.0080992
98,2677.68,1.10801,0.63527,0.91547,0.59754,0.43881,0.46321,0.2456,1.46403,0.85366,1.02278,0.0080794,0.0080794,0.0080794
99,2704.93,1.09712,0.63356,0.9127,0.59575,0.43012,0.46921,0.24879,1.46377,0.87125,1.02489,0.0080596,0.0080596,0.0080596
100,2731.56,1.09805,0.62956,0.91144,0.61605,0.41905,0.4702,0.24612,1.47547,0.86024,1.02777,0.0080398,0.0080398,0.0080398
101,2758.03,1.09998,0.634,0.91257,0.5833,0.44094,0.463,0.24398,1.47948,0.8623,1.02861,0.00802,0.00802,0.00802
102,2785.07,1.10591,0.6314,0.91063,0.62196,0.4282,0.47,0.25063,1.4566,0.85354,1.02251,0.0080002,0.0080002,0.0080002
103,2812.64,1.09162,0.62492,0.91058,0.5933,0.43631,0.46392,0.24018,1.4798,0.85752,1.02592,0.0079804,0.0079804,0.0079804
104,2839.71,1.09748,0.63337,0.91152,0.60322,0.44925,0.4739,0.25129,1.45206,0.8531,1.01584,0.0079606,0.0079606,0.0079606
105,2866.82,1.09242,0.6235,0.91145,0.62403,0.43048,0.47176,0.2505,1.45716,0.86355,1.02487,0.0079408,0.0079408,0.0079408
106,2894.5,1.09601,0.62665,0.91192,0.61732,0.42962,0.46995,0.24275,1.48688,0.86494,1.03073,0.007921,0.007921,0.007921
107,2920.87,1.09512,0.62094,0.9115,0.61585,0.43784,0.47528,0.2491,1.4871,0.85843,1.0274,0.0079012,0.0079012,0.0079012
108,2947.58,1.08616,0.62109,0.90886,0.63022,0.42273,0.47018,0.24645,1.47437,0.85965,1.02416,0.0078814,0.0078814,0.0078814
109,2974.87,1.09168,0.62069,0.91032,0.61126,0.43722,0.47004,0.24651,1.47041,0.85535,1.02949,0.0078616,0.0078616,0.0078616
110,3002.1,1.08825,0.62212,0.90865,0.62187,0.42959,0.47107,0.24715,1.47068,0.86059,1.02583,0.0078418,0.0078418,0.0078418
111,3029.13,1.08554,0.62184,0.90616,0.62308,0.43316,0.47166,0.2441,1.46937,0.85417,1.02178,0.007822,0.007822,0.007822
112,3056.36,1.07936,0.6218,0.91045,0.62143,0.43745,0.47276,0.24793,1.46684,0.85183,1.02828,0.0078022,0.0078022,0.0078022
