epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,6279.81,0.81154,0.45693,0.85412,0.72641,0.55402,0.61707,0.33804,1.26371,0.65732,0.95253,0.00935741,0.00935741,0.00935741
84,6355.55,0.80965,0.4559,0.85315,0.72715,0.55517,0.6178,0.33843,1.26374,0.65692,0.95258,0.009342,0.009342,0.009342
85,6430.86,0.80702,0.45419,0.85332,0.72601,0.55401,0.61757,0.33865,1.26325,0.65605,0.95268,0.00932642,0.00932642,0.00932642
86,6506.6,0.81065,0.45557,0.85368,0.7254,0.55462,0.61848,0.33895,1.26334,0.65601,0.9526,0.00931067,0.00931067,0.00931067
87,6581.9,0.8083,0.45539,0.85303,0.72554,0.55427,0.61791,0.33908,1.26328,0.65593,0.95198,0.00929476,0.00929476,0.00929476
88,6657.32,0.80263,0.45154,0.85181,0.7249,0.55452,0.61797,0.33909,1.26298,0.65559,0.95226,0.00927867,0.00927867,0.00927867
89,6732.5,0.79806,0.45033,0.851,0.72334,0.55655,0.61818,0.33922,1.26165,0.65492,0.95152,0.00926242,0.00926242,0.00926242
90,6808.04,0.80284,0.45154,0.8526,0.72269,0.55691,0.6183,0.3395,1.2611,0.65467,0.95126,0.00924601,0.00924601,0.00924601
91,6883.54,0.80023,0.45065,0.85213,0.72581,0.55547,0.61878,0.33963,1.2611,0.6542,0.9513,0.00922942,0.00922942,0.00922942
92,6959.14,0.80057,0.45059,0.85237,0.72351,0.55705,0.61918,0.3399,1.26,0.65362,0.95088,0.00921268,0.00921268,0.00921268
93,7034.47,0.79844,0.44998,0.85172,0.72627,0.55537,0.61956,0.34016,1.26028,0.65386,0.95113,0.00919576,0.00919576,0.00919576
94,7109.65,0.7983,0.45003,0.85155,0.72507,0.55628,0.61964,0.34024,1.25978,0.65322,0.95107,0.00917869,0.00917869,0.00917869
95,7184.72,0.79479,0.44867,0.85089,0.72566,0.55626,0.61955,0.34045,1.25936,0.65258,0.95096,0.00916145,0.00916145,0.00916145
96,7260.27,0.79963,0.45056,0.85086,0.72695,0.55624,0.61966,0.34036,1.25976,0.65232,0.95126,0.00914405,0.00914405,0.00914405
97,7335.36,0.79404,0.44754,0.85074,0.72291,0.55938,0.62013,0.34076,1.25971,0.65193,0.95107,0.00912649,0.00912649,0.00912649
98,7410.99,0.79351,0.44729,0.85054,0.72431,0.55797,0.61963,0.34053,1.25986,0.65218,0.95111,0.00910876,0.00910876,0.00910876
99,7486.88,0.79779,0.44863,0.85202,0.72356,0.5588,0.62024,0.34086,1.26018,0.65243,0.95137,0.00909088,0.00909088,0.00909088
100,7562.34,0.79011,0.44555,0.85066,0.72569,0.55724,0.61998,0.34116,1.25937,0.65204,0.95117,0.00907284,0.00907284,0.00907284
101,7637.96,0.79234,0.44601,0.84986,0.7237,0.55945,0.62089,0.34138,1.25915,0.6518,0.95097,0.00905463,0.00905463,0.00905463
