epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1340.71,1.09062,0.57526,0.88138,0.57539,0.33245,0.35885,0.19305,1.29842,0.67691,0.9402,0.00970736,0.00970736,0.00970736
57,1364.07,1.08889,0.57364,0.8802,0.58388,0.32747,0.3571,0.19177,1.29786,0.6757,0.93607,0.00969673,0.00969673,0.00969673
58,1388.02,1.08898,0.57331,0.87962,0.58024,0.32809,0.35657,0.19254,1.28817,0.67025,0.93301,0.00968592,0.00968592,0.00968592
59,1412.23,1.0802,0.57142,0.87855,0.59195,0.3285,0.36347,0.19435,1.30809,0.6788,0.94303,0.00967493,0.00967493,0.00967493
60,1435.6,1.07985,0.56887,0.87901,0.58661,0.33283,0.36063,0.19427,1.29524,0.66583,0.93445,0.00966375,0.00966375,0.00966375
61,1459.82,1.08268,0.57312,0.8801,0.58782,0.33203,0.3616,0.19514,1.28301,0.67441,0.93077,0.00965239,0.00965239,0.00965239
62,1483.24,1.08155,0.5707,0.8783,0.56956,0.33364,0.36357,0.19581,1.30444,0.68182,0.93955,0.00964085,0.00964085,0.00964085
63,1507.53,1.08015,0.56948,0.87858,0.58437,0.33432,0.36002,0.19504,1.27499,0.663,0.9351,0.00962913,0.00962913,0.00962913
64,1530.82,1.07401,0.56484,0.87792,0.58169,0.33189,0.36167,0.19506,1.29306,0.67048,0.93638,0.00961723,0.00961723,0.00961723
65,1555.1,1.06999,0.5662,0.87738,0.60238,0.32861,0.36364,0.19584,1.29581,0.67774,0.93619,0.00960515,0.00960515,0.00960515
66,1578.61,1.07029,0.56667,0.87596,0.57219,0.33155,0.35773,0.19182,1.30143,0.67509,0.93796,0.00959289,0.00959289,0.00959289
67,1602.95,1.06859,0.56323,0.8762,0.58657,0.3362,0.36405,0.19598,1.28087,0.6616,0.93319,0.00958044,0.00958044,0.00958044
68,1626.19,1.06263,0.56058,0.87513,0.59259,0.32933,0.36473,0.19578,1.29107,0.6683,0.93877,0.00956782,0.00956782,0.00956782
69,1650.51,1.0601,0.55618,0.87549,0.5804,0.33238,0.36546,0.19682,1.29753,0.67691,0.93545,0.00955502,0.00955502,0.00955502
70,1673.95,1.05418,0.55764,0.87395,0.57507,0.32417,0.3556,0.19017,1.30756,0.67167,0.94027,0.00954205,0.00954205,0.00954205
71,1698.2,1.05973,0.56149,0.87574,0.58433,0.33618,0.36671,0.19738,1.28689,0.66377,0.93336,0.00952889,0.00952889,0.00952889
72,1721.37,1.05664,0.5564,0.87522,0.59335,0.33231,0.37233,0.20056,1.30326,0.68318,0.93513,0.00951556,0.00951556,0.00951556
73,1745.53,1.0525,0.55496,0.87273,0.60018,0.32908,0.36202,0.19604,1.27452,0.66168,0.93103,0.00950206,0.00950206,0.00950206
74,1769.83,1.04904,0.55286,0.87216,0.58125,0.33742,0.36621,0.19676,1.28273,0.65645,0.93304,0.00948837,0.00948837,0.00948837
75,1793.15,1.05069,0.55744,0.87421,0.57918,0.3208,0.35422,0.18832,1.32474,0.69363,0.94338,0.00947452,0.00947452,0.00947452
76,1817.71,1.05782,0.55352,0.87372,0.59007,0.33146,0.36433,0.19497,1.28453,0.66228,0.935,0.00946048,0.00946048,0.00946048
77,1841.1,1.04577,0.55406,0.87337,0.58009,0.33284,0.36636,0.1969,1.29087,0.67118,0.93423,0.00944628,0.00944628,0.00944628
78,1865.31,1.04297,0.54919,0.87179,0.59337,0.3373,0.37194,0.20177,1.27152,0.65767,0.93098,0.00943189,0.00943189,0.00943189
79,1888.67,1.04351,0.55029,0.87218,0.58682,0.33553,0.36488,0.19746,1.27831,0.66125,0.93072,0.00941734,0.00941734,0.00941734
80,1912.97,1.04209,0.54916,0.87129,0.59244,0.33236,0.3654,0.19776,1.28302,0.6625,0.93253,0.00940262,0.00940262,0.00940262
81,1936.39,1.04,0.54676,0.87145,0.5805,0.33547,0.36125,0.19502,1.28877,0.66172,0.93425,0.00938772,0.00938772,0.00938772
82,1960.9,1.04266,0.54803,0.87079,0.58786,0.33294,0.3665,0.19835,1.28036,0.66089,0.93367,0.00937265,0.00937265,0.00937265
83,1984.24,1.03466,0.54777,0.8712,0.57445,0.33504,0.36826,0.19596,1.298,0.6733,0.93688,0.00935741,0.00935741,0.00935741
84,2008.6,1.03978,0.54739,0.87134,0.58696,0.33843,0.36628,0.19759,1.26856,0.65447,0.92817,0.009342,0.009342,0.009342
85,2031.97,1.03323,0.54488,0.8706,0.58809,0.33748,0.37146,0.20076,1.27505,0.66585,0.93326,0.00932642,0.00932642,0.00932642
86,2056.4,1.03196,0.54272,0.87003,0.59377,0.3354,0.36763,0.19995,1.27611,0.65953,0.93342,0.00931067,0.00931067,0.00931067
87,2079.82,1.03633,0.54551,0.87038,0.61261,0.33206,0.37058,0.20111,1.27247,0.6554,0.92996,0.00929476,0.00929476,0.00929476
88,2104.3,1.02544,0.54254,0.86847,0.58774,0.34045,0.37255,0.20117,1.26724,0.65497,0.93233,0.00927867,0.00927867,0.00927867
89,2127.69,1.02463,0.53952,0.86963,0.58946,0.33375,0.37023,0.20003,1.28428,0.66567,0.93516,0.00926242,0.00926242,0.00926242
90,2151.99,1.02541,0.54107,0.86901,0.58373,0.33915,0.37049,0.19953,1.27894,0.66005,0.93286,0.00924601,0.00924601,0.00924601
91,2175.26,1.02528,0.54073,0.86916,0.59042,0.33621,0.37077,0.20045,1.28074,0.66148,0.9356,0.00922942,0.00922942,0.00922942
92,2199.56,1.02318,0.54078,0.86819,0.58053,0.33489,0.36755,0.19682,1.30124,0.67231,0.9355,0.00921268,0.00921268,0.00921268
93,2222.82,1.01886,0.53779,0.86796,0.59404,0.33493,0.37103,0.20175,1.26749,0.66093,0.93163,0.00919576,0.00919576,0.00919576
94,2246.88,1.02843,0.53929,0.86961,0.59743,0.33582,0.3726,0.20206,1.26807,0.66185,0.93259,0.00917869,0.00917869,0.00917869
95,2271.11,1.02233,0.5391,0.86776,0.59048,0.34027,0.37148,0.20131,1.27901,0.65867,0.93209,0.00916145,0.00916145,0.00916145
96,2294.42,1.01786,0.53902,0.86764,0.58924,0.33568,0.36577,0.19622,1.28331,0.65795,0.93382,0.00914405,0.00914405,0.00914405
97,2317.85,1.01431,0.53773,0.86673,0.59774,0.33564,0.3709,0.19913,1.27612,0.65744,0.93269,0.00912649,0.00912649,0.00912649
